Position_Index,sc1_pos_x,sc1_pos_y,sc1_pos_z,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_pos_x,sc2_pos_y,sc2_pos_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_pos_x,sc3_pos_y,sc3_pos_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_pos_x,sc4_pos_y,sc4_pos_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_pos_x,sc5_pos_y,sc5_pos_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_pos_x,sc6_pos_y,sc6_pos_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_pos_x,sc7_pos_y,sc7_pos_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
10,40800141.41414142,-66219787.878787875,-6371000.0,7.471453275859212e-10,1.903362685934196e-09,5.892773779401764e-09,44146967.81243142,-60798681.55286788,0.0,1.8209102021181855e-09,-1.0028216352719822e-09,2.418980949845263e-08,39452151.982461415,-57900244.86037788,-9556500.0,2.1573976830580723e-09,-9.428326157371657e-09,3.719167128419929e-08,48841783.64240141,-63697118.18164788,-9556500.0,-4.030557556992898e-09,4.763230994603367e-09,-2.6827819753267623e-08,41278259.480141416,-65445344.09063788,-5460857.16106,3.2244086557949327e-10,3.8986110920646343e-10,1.1224017050165858e-08,40607571.50443142,-65031281.715097874,-6826071.41947,3.2382515776816244e-10,-1.1365358302458982e-09,1.5893429040692333e-08,41948947.45585141,-65859406.46617788,-6826071.41947,4.740116217645053e-10,2.8546352599791372e-09,5.70274714332702e-10
11,41057555.55555555,-65833666.666666664,-6371000.0,6.419950481355726e-10,1.4415111101357024e-09,7.595620982849234e-09,44404381.95384555,-60412560.34074667,0.0,1.8998888065135293e-09,-8.259911328855327e-10,2.4274678867773476e-08,39709566.12387555,-57514123.64825667,-9556500.0,2.2296070580334987e-09,-9.408516607899507e-09,3.750510053410111e-08,49099197.78381555,-63310996.96952667,-9556500.0,-4.112636975879514e-09,4.654413788261733e-09,-2.7103449033453522e-08,41535673.62155555,-65059222.87851667,-5460857.16106,1.3299043333853546e-10,-3.2136964877794046e-11,1.2583125260586547e-08,40864985.645845555,-64645160.50297666,-6826071.41947,3.617682674960158e-10,-1.370631341812966e-09,1.708177460405678e-08,42206361.59726555,-65473285.25405667,-6826071.41947,2.7806455992653624e-10,2.4555200932638934e-09,1.7597675444566595e-09
12,41314969.696969695,-65447545.45454545,-6371000.0,4.383856426543104e-10,8.960263168058247e-10,9.073364175885432e-09,44661796.095259696,-60026439.12862546,0.0,1.9558569202024738e-09,-6.96885971181145e-10,2.4688280681247704e-08,39966980.265289694,-57128002.436135456,-9556500.0,2.297291680282707e-09,-9.405583654769886e-09,3.7844123707176704e-08,49356611.92522969,-62924875.75740546,-9556500.0,-4.140761304342615e-09,4.4805260938191344e-09,-2.7089142540342518e-08,41793087.762969695,-64673101.666395456,-5460857.16106,9.128638113925605e-11,-2.3519174702455785e-10,1.3404909301374633e-08,41122399.7872597,-64259039.29085545,-6826071.41947,3.423937294648049e-10,-1.656934104222919e-09,1.8149550789926726e-08,42463775.73867969,-65087164.04193546,-6826071.41947,9.035681253362318e-11,2.157605083327374e-09,2.771935347940929e-09
13,41572383.83838384,-65061424.24242424,-6371000.0,2.4080629737850487e-10,4.4396129910146615e-10,1.0399647344477117e-08,44919210.23667384,-59640317.91650425,0.0,1.9888145431850158e-09,-6.155061501588288e-10,2.543061493887536e-08,40224394.40670384,-56741881.224014245,-9556500.0,2.3694659873629422e-09,-9.397109652826967e-09,3.8166964369917376e-08,49614026.066643834,-62538754.54528425,-9556500.0,-4.10355742964948e-09,4.199783815203145e-09,-2.6972497978940694e-08,42050501.90438384,-64286980.454274245,-5460857.16106,7.416021490331118e-11,-4.189209470580722e-10,1.4314807730423917e-08,41379813.92867384,-63872918.07873424,-6826071.41947,2.7641111913021344e-10,-1.959219144468746e-09,1.9062750152221386e-08,42721189.880093835,-64701042.82981425,-6826071.41947,1.0185337315398356e-11,1.8752474539390474e-09,3.896121250008438e-09
14,41829797.97979798,-64675303.03030303,-6371000.0,1.682058776352096e-10,1.6266517525436122e-10,1.1310382882612961e-08,45176624.37808798,-59254196.70438304,0.0,2.0421689582581215e-09,-5.547491745398971e-10,2.5343499704012514e-08,40481808.54811798,-56355760.011893034,-9556500.0,2.445040795336257e-09,-9.38127971501454e-09,3.8470699712221117e-08,49871440.20805798,-62152633.33316304,-9556500.0,-4.063358376900886e-09,3.961741475343821e-09,-2.6981665376803294e-08,42307916.04579798,-63900859.24215303,-5460857.16106,5.484586590988224e-11,-6.15868957855915e-10,1.5414284673801917e-08,41637228.070087984,-63486796.86661303,-6826071.41947,2.1996208398532835e-10,-2.2576281126958795e-09,2.0143224293161583e-08,42978604.02150798,-64314921.61769304,-6826071.41947,-3.164759697749829e-11,1.5827809635764586e-09,5.233047454946295e-09
15,42087212.121212125,-64289181.81818182,-6371000.0,1.2376593296730222e-10,-9.824516610666668e-11,1.23199257082285e-08,45434038.519502126,-58868075.49226183,0.0,2.1189267682941436e-09,-4.599137624336097e-10,2.468768281898831e-08,40739222.68953212,-55969638.79977182,-9556500.0,2.5202322528724223e-09,-9.366604980346786e-09,3.8771281941093717e-08,50128854.34947212,-61766512.12104183,-9556500.0,-4.020164146096832e-09,3.766399074241162e-09,-2.711664473393032e-08,42565330.187212124,-63514738.03003182,-5460857.16106,3.334333415896926e-11,-8.260357794180868e-10,1.6703340131508635e-08,41894642.21150213,-63100675.65449182,-6826071.41947,1.7304662403014955e-10,-2.5521610089043188e-09,2.1390973212747304e-08,43236018.16292212,-63928800.405571826,-6826071.41947,-1.6070878396445926e-10,1.141584637648501e-09,6.39693890571491e-09
16,42344626.26262626,-63903060.60606061,-6371000.0,8.495231084003879e-11,-3.609777297100203e-10,1.350417789105068e-08,45691452.66091626,-58481954.280140616,0.0,2.215674952456832e-09,-3.6126838589974206e-10,2.397882971850864e-08,40996636.83094626,-55583517.58765061,-9556500.0,2.595040359971439e-09,-9.353085448823707e-09,3.906871105653519e-08,50386268.490886256,-61380390.908920616,-9556500.0,-3.9739747372373194e-09,3.613756611895167e-09,-2.7377436050321778e-08,42822744.32862626,-63128616.81791061,-5460857.16106,9.652619650572597e-12,-1.0494214117445993e-09,1.8181974103544112e-08,42152056.35291626,-62714554.44237061,-6826071.41947,2.0519222423316129e-10,-2.6262882469820724e-09,2.2048281580544186e-08,43493432.30433626,-63542679.193450615,-6826071.41947,-3.0657397977042947e-10,7.468506485497244e-10,7.351907316548814e-09
17,42602040.4040404,-63516939.39393939,-6371000.0,5.1765011253417174e-11,-6.255325155556891e-10,1.486313943107946e-08,45948866.802330405,-58095833.0680194,0.0,2.2968091020713043e-09,-2.669954858711842e-10,2.3684049485543328e-08,41254050.9723604,-55197396.37552939,-9556500.0,2.6840286551705905e-09,-9.289015395715752e-09,3.932739496998949e-08,50643682.6323004,-60994269.6967994,-9556500.0,-3.924195361636869e-09,3.5020758209751115e-09,-2.7762047787288083e-08,43080158.4700404,-62742495.60578939,-5460857.16106,2.8745592472772477e-11,-1.144232573228799e-09,1.8945209497052545e-08,42409470.494330406,-62328433.23024939,-6826071.41947,2.706484868628825e-10,-2.6485757204246753e-09,2.268470619227293e-08,43750846.4457504,-63156557.9813294,-6826071.41947,-4.612330200061556e-10,4.148598075353066e-10,8.11382829896395e-09
18,42859454.54545455,-63130818.18181818,-6371000.0,2.4204034207438454e-11,-8.919095236436574e-10,1.6396810328314778e-08,46206280.94374455,-57709711.85589819,0.0,2.362329217137559e-09,-1.770950623479374e-10,2.3803342120092376e-08,41511465.113774545,-54811275.16340818,-9556500.0,2.775652076194457e-09,-9.24544326032925e-09,3.960683210434495e-08,50901096.77371454,-60608148.48467819,-9556500.0,-3.832630552479253e-09,3.3340749544846327e-09,-2.8295442558619848e-08,43337572.61145455,-62356374.39366818,-5460857.16106,3.473791278339081e-11,-1.1911532194240979e-09,1.8931047051433046e-08,42666884.63574455,-61942312.01812818,-6826071.41947,3.4478162365979936e-10,-2.6996509804566203e-09,2.3579346370467647e-08,44008260.58716454,-62770436.769208185,-6826071.41947,-5.533945425607616e-10,2.2991625135810632e-10,8.525101827968647e-09
19,43116868.68686868,-62744696.96969697,-6371000.0,1.561661773388057e-11,-1.038074851837883e-09,1.7127585733084523e-08,46463695.08515868,-57323590.643776976,0.0,2.4122352976555916e-09,-9.156711533001352e-11,2.4336707622155868e-08,41768879.25518868,-54425153.95128697,-9556500.0,2.8752115553756753e-09,-9.204373415553114e-09,3.988313189869192e-08,51158510.91512868,-60222027.272556975,-9556500.0,-3.717514557447719e-09,3.1865764711787317e-09,-2.8549285505471207e-08,43594986.75286868,-61970253.18154697,-5460857.16106,4.294053553851203e-11,-1.2294429455523247e-09,1.9066029147688317e-08,42924298.777158685,-61556190.80600697,-6826071.41947,4.275916346239142e-10,-2.7795140270779266e-09,2.4732202115128398e-08,44265674.72857868,-62384315.557086974,-6826071.41947,-5.946281443304253e-10,1.2559871746550916e-10,8.884213332604142e-09
