Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1344,-6.003757615539634e-09,3.1449194277333375e-10,2.434402488083219e-09,-9.155380931004614e-09,1.6663703590727277e-10,2.250314515102291e-09,6.214723754395916e-09,-2.3883833849415996e-10,2.602943256318817e-09,9.673061124258252e-09,-1.6286624707454346e-09,4.644545669848863e-10,-6.191840519664334e-09,3.7457995347367307e-10,2.644397445053413e-09,-4.956697266221179e-09,2.93021386483748e-10,2.571584793659995e-09,-5.9335458862550925e-09,1.7407332103717399e-10,2.5664393073016637e-09
1345,-5.95891661539831e-09,2.6624278354249e-10,2.6085164354245798e-09,-9.273159501365645e-09,1.2947731505432791e-10,2.3445579279866594e-09,5.910279898332585e-09,-2.7954625357561034e-10,2.923421276799859e-09,9.69633022342898e-09,-1.7938734321947239e-09,4.171560125450746e-10,-6.166502130610386e-09,3.2954746757936157e-10,2.8190048098150565e-09,-4.946475604035486e-09,2.6526485508126123e-10,2.776590572635718e-09,-5.833144058465168e-09,1.1092231136534239e-10,2.7586776878129267e-09
1346,-5.904572240009446e-09,2.1646685562439256e-10,2.8208762324709298e-09,-9.426406685015623e-09,1.0659326322402912e-10,2.365794014057768e-09,5.574732208051616e-09,-2.605711664172935e-10,3.20113333841299e-09,9.640027752681756e-09,-1.903834021463952e-09,3.446998110908062e-10,-6.147692760630041e-09,2.865173451340275e-10,3.0357136321151367e-09,-4.917455540531144e-09,2.447681600828107e-10,3.0340790565254178e-09,-5.732682065859171e-09,5.304390581976581e-11,2.999144974229705e-09
1347,-5.85071882676115e-09,1.7829743801335364e-10,3.0852254408960563e-09,-9.613060478416708e-09,1.0026424240941862e-10,2.2935843158966706e-09,5.238330591434171e-09,-1.9537351942246093e-10,3.4037713793924636e-09,9.522661374322697e-09,-1.961307816356961e-09,2.722049193504244e-10,-6.139465998227984e-09,2.5585147824339106e-10,3.307123840220763e-09,-4.8804517093409434e-09,2.417752388635373e-10,3.350761760461327e-09,-5.633268385748949e-09,1.3101130958550516e-11,3.2846261422137217e-09
1348,-5.804079143236495e-09,1.5448635296693196e-10,3.397518807404473e-09,-9.828629502252291e-09,1.0611097297204338e-10,2.0979916113924846e-09,4.9306659034755795e-09,-1.122697409252284e-10,3.523382777593321e-09,9.37786986866488e-09,-1.976505978511834e-09,2.2394924733965388e-10,-6.152138226865585e-09,2.38375925767855e-10,3.6079938049321434e-09,-4.836213503528203e-09,2.519646078084716e-10,3.695793699183236e-09,-5.540832344163726e-09,-8.064354573856678e-12,3.585163588326075e-09
1349,-5.770514440168478e-09,1.537626684559466e-10,3.739586960215344e-09,-1.0054887081993593e-08,1.2470935973951045e-10,1.764906724171668e-09,4.692807415702136e-09,-5.4264249955339303e-11,3.518614921724832e-09,9.222568938318026e-09,-1.9412946912439415e-09,1.9804459660227502e-10,-6.18976534735687e-09,2.551019747177837e-10,3.8899099917242464e-09,-4.786572356562498e-09,2.937289983366223e-10,4.010808154419807e-09,-5.444556184000028e-09,6.081893858738421e-12,3.848644325921981e-09
1350,-5.740239967518295e-09,1.955555027099844e-10,4.022727654492138e-09,-1.0267522247846831e-08,1.5878368097364002e-10,1.34324503879015e-09,4.563002912345592e-09,-5.254280385116271e-11,3.2615387892012956e-09,9.092958236983559e-09,-1.840913576225464e-09,1.7143929381120528e-10,-6.2509155473606896e-09,3.3164532264971006e-10,4.064063319213672e-09,-4.744067453844275e-09,3.8819082310220524e-10,4.219741707520802e-09,-5.343781016631738e-09,7.899061401860502e-11,4.0107500246841175e-09
1351,-5.722799415665026e-09,2.986053519860771e-10,4.182660176902958e-09,-1.0450347028312044e-08,2.2042343292765503e-10,9.101332943975095e-10,4.525739018148992e-09,-1.0758512230348337e-10,2.6458682564470543e-09,8.99471821584687e-09,-1.6718328336587429e-09,1.2552809732104072e-10,-6.347415329593216e-09,4.887132014050538e-10,4.106333500584753e-09,-4.733996426622141e-09,5.559881921419213e-10,4.314241522372125e-09,-5.25524963662609e-09,2.265373751108707e-10,4.053872771485911e-09
1352,-5.750114992861526e-09,4.881611054204237e-10,4.217363581890398e-09,-1.0611342134302313e-08,2.9950596194028595e-10,5.38520163845935e-10,4.5141256204811916e-09,-2.0475560427551545e-10,1.7302792114451312e-09,8.959473394666066e-09,-1.4744122377557247e-09,5.220627656939929e-11,-6.498846042035427e-09,7.124417275259051e-10,4.038378010312991e-09,-4.770655468795253e-09,7.835677901049499e-10,4.29872420915977e-09,-5.177688580006654e-09,4.2876811761734896e-10,3.9497199320315955e-09
1353,-5.8175711131025774e-09,7.433775615743753e-10,4.123726905548486e-09,-1.0770888869293474e-08,3.930874508149107e-10,2.489505640531261e-10,4.5001432607025995e-09,-3.702987406136737e-10,6.970464644085122e-10,9.02316952149179e-09,-1.3067056867225495e-09,-8.030700043692546e-11,-6.694629823703059e-09,9.476019553248665e-10,3.799265023657726e-09,-4.832722085335407e-09,1.0198400714138791e-09,4.109973833234166e-09,-5.07185718722244e-09,6.266426752143416e-10,3.6342693224250876e-09
