Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1330,-555688.3179427772,-24429.93648755616,165570.90036311728,-367522.995333655,250681.89524798124,165055.40983273258,-632525.8564330017,-82329.24221472425,261819.9547567983,-479097.733054037,71315.27515468906,199039.30320372258,-506742.0402209931,-25593.96431308574,145320.61188198728,-585283.2704121278,-17231.222463213962,125303.34053201551,-536005.4763912974,-59702.47823497147,218374.13832022113
1331,-543587.340344445,-30903.87787184543,150779.44564925905,-366231.82330887957,254219.3432149781,149696.84216589347,-620870.2257211386,-81105.59285408333,264952.9877918825,-458793.35462781915,56547.544728619876,199417.99122680406,-497265.8920685995,-30170.41136073662,129075.89242869058,-573966.9919500293,-25632.80810337692,114604.1031469125,-519971.1344813369,-72546.69834531836,206240.13685074123
1332,-530883.3013245974,-38825.87115966456,136365.17168529693,-366725.7481869785,258239.72312187526,133860.99515874032,-608999.0139176955,-79091.63254213554,267432.3235289009,-441041.7518831128,42393.55739502442,196549.10283792822,-487325.02775193145,-35994.17797071006,112991.55144730741,-561601.1141302194,-36260.77739484692,103256.55087957182,-505229.3739500232,-86074.69615260806,194778.04013302986
1333,-517968.70963942783,-47952.08203106256,122379.51974134348,-368945.0385158121,262503.1599220191,118487.84986083544,-596741.90001576,-75744.58095483182,268829.5242393797,-428543.35514290695,29914.703714077776,190882.1106293017,-477398.7155578161,-42838.02688834082,97243.64093538505,-548762.6676542708,-48358.38775572588,91105.63752282722,-492205.4607301202,-99840.44230232746,184365.4571602888
1334,-505519.75448678853,-58093.563356218496,108864.81488583183,-372576.55254947627,267421.38077868475,104367.27941230821,-583589.8337720725,-70712.33057301825,269038.8561553401,-422933.8874639295,20291.028475023988,183728.4132673894,-468086.359461482,-50166.77425896096,82109.36165916282,-536445.4183392666,-60827.435222068656,78565.5642268284,-481153.0058976284,-113760.39617874587,175383.74619813485
1335,-493786.05607638916,-69255.2034377398,95908.59899680996,-377448.3310490207,273446.6862144404,91198.10659357527,-569031.9251352934,-63909.810243773194,267852.14211047307,-423438.04334244726,12471.6445849107,176475.11099985027,-459658.2134790635,-57589.8503419945,67730.0747759667,-525067.0333531427,-73241.00356978484,66300.97732655771,-471853.6268978806,-128182.96383647187,167940.07899337655
1336,-483511.8018421883,-80804.45874118037,84162.13035864431,-383485.7075808347,279843.77608855173,78948.39716990097,-554159.2225063094,-55897.71725292229,265180.04833924933,-428461.36058921105,4040.6656553483735,170312.8911389969,-452797.5423369391,-64548.731374710034,54917.58809399007,-515421.3477537456,-85029.32478132879,55092.60190974301,-464914.1389257463,-142602.2801842722,162340.90386417328
1337,-475371.4702704649,-92299.1887441053,73997.82196820331,-390871.0301318333,285577.7311974991,67128.70767672927,-540241.1389535144,-47108.05085759488,260997.80256445255,-436235.86698728614,-6970.724471381266,166210.755233648,-447934.48378894565,-70890.35252555204,44207.71486769779,-508111.8482153483,-95657.5183077818,45422.06188711218,-460221.36291316943,-156705.80422130582,158424.70546020678
1338,-469684.570344307,-103206.84943662905,66060.39839550604,-399938.0377030278,289740.6367137536,55323.27508438824,-528547.478947108,-38480.30756657908,255244.2784352092,-445669.264008441,-20579.683635390982,163960.98538293972,-445387.16714684595,-76660.6385390317,36308.83281151924,-503078.7448112926,-104557.88790376071,37939.91840369791,-457436.1229630763,-170019.28180854893,156147.46566801888
1339,-466438.1806891245,-113442.98201585723,60659.79039919427,-411697.64999219764,291588.0784037331,43183.09230440796,-519438.1864988257,-31260.74980074413,247983.8746476053,-457003.7637619522,-36256.18763536044,163217.38720890833,-445375.8019697799,-82268.18771468854,31484.862340189437,-500021.9014975481,-112343.83921008618,33286.58873368232,-456720.4432442988,-182719.8213774745,155132.77401302243
1340,-465805.30594150815,-122896.62246717246,58141.28705075131,-426656.16930855595,290976.3116000871,30865.704454745188,-513604.29691983573,-27051.225234997895,239688.46606619228,-470970.2284654172,-53326.73887937225,164013.45622074133,-447991.22868480353,-87980.84244224441,29566.157975580438,-498819.53400949156,-119603.88220612645,31927.469150703855,-458484.78837863955,-194865.21049729327,155281.19176286308
1341,-467739.77097194287,-131741.10764583354,58151.52757411266,-444526.9460881725,288466.9523661785,18695.947286967054,-511919.1325402016,-26958.41923310072,231254.78799296438,-488191.5291538097,-71458.93648047592,166196.83232790406,-453468.0003497562,-94121.80368272887,29848.965667719945,-499210.7827910616,-126629.03273634505,33551.06697350826,-463001.73271361983,-206658.71104461479,156588.11839192527
1342,-472468.3211250496,-140703.45961918874,60583.22103835163,-465818.41823717183,284647.60114691366,7050.503515162486,-514769.9678850577,-32927.84091133261,223171.4566331135,-508656.28731280495,-92010.95459391619,169327.1416207261,-462578.155402003,-101411.58012127312,31938.227881715167,-501673.97651993495,-133893.129359428,38050.92088722644,-470525.70064762555,-218641.34669314956,159376.44102818513
1343,-480469.039174492,-149936.2290339501,65228.40037488702,-490201.39290455333,279845.23929897585,-2401.822857852706,-522467.14735850313,-47307.655448319354,215454.50783693918,-531444.2329199027,-116541.04299521168,172558.51267335057,-476033.7096066951,-109831.3941935347,35470.74746756138,-507665.24208649347,-141336.91171750514,45123.92730676974,-480995.5136726002,-230449.28672006656,163492.85265283292
1344,-492279.7127517576,-159319.04015829726,71276.13870467298,-517007.3451533199,273864.5381053481,-7557.774271518195,-535524.2495258263,-70776.36463415663,207122.88026221172,-558107.8470796964,-144135.64513318997,174163.37535937413,-493671.9198196989,-119430.39967734733,39462.703417854034,-518655.9895718581,-149158.45667654497,53965.72389349892,-494284.8610388819,-241550.7785143424,167906.0141842977
1345,-507562.78370526683,-168855.893388281,77116.49279285852,-544255.9253597895,266094.07441070647,-7309.658396572272,-552916.6456118287,-102169.41156449122,196915.69009701093,-589672.8877552563,-171153.72717086045,171429.3610611428,-514158.70745498507,-130704.77158990622,42803.336933513965,-535231.388748691,-158330.36346757427,63114.22895121118,-510354.68762539164,-251512.86534650563,171346.63381070635
1346,-526617.929169805,-179552.065818507,82057.7078519298,-569109.4209929903,254757.81087620347,-2389.154351817303,-573560.6175662454,-142385.83490798195,183841.42266610652,-624262.1205542122,-196377.3628856008,162416.19818662255,-536888.8690016489,-145138.69209879055,45178.72926375611,-558204.8811969578,-170025.63219318964,71682.6414705265,-530577.806614577,-261006.48562990292,173156.175187207
1347,-549231.2134354642,-192045.47378258023,85763.75126694096,-586410.0881487915,239034.99407572355,7725.842955064414,-596781.5731408019,-189916.3969780285,168958.267150912,-658029.5081099913,-223176.7875496218,148829.3697703291,-560726.2494649044,-163562.46311960457,46096.04286598569,-587860.7332062384,-184638.38804528335,78948.72325801557,-556620.7593367728,-270063.6743583437,173838.77903095318
1348,-575929.0132510744,-206349.69994923795,88118.53109906276,-595183.6853298233,220897.45055090525,25445.256228322694,-629278.0308540079,-238288.40049904023,153430.91879290598,-691678.2696671374,-252692.12172620918,133053.95972955387,-585747.462602008,-186229.6649246559,45767.38861336331,-624391.7165248604,-201697.98028991077,85698.03260001332,-591525.4106883093,-278062.6887139883,175102.84988950705
1349,-609183.4179115568,-223264.02660556973,90589.54877728787,-599931.5807942735,202442.19002650288,51649.28891589158,-686530.975834788,-276828.66884323803,131670.41856848198,-726026.0562041375,-279877.12136968825,120158.58406214567,-615289.4365550599,-214052.94566854386,46420.85252086783,-668560.6940763374,-220840.8707430139,95481.85361307618,-640076.1926555119,-285364.27812645386,179609.64961901217
1350,-651735.1624383745,-242751.07134467352,96135.8340558081,-604759.0024844101,185781.53439055796,83658.59919856743,-763980.9873077947,-304505.50083138153,102714.09633581562,-757639.8583750733,-302946.5639334619,114421.15078911366,-653437.8217926455,-246205.91870678042,51007.647667090154,-719129.2620240833,-240255.9971270717,111639.16416710077,-703123.1920890666,-292029.7552784039,189091.39004948156
1351,-704587.3623106312,-265002.2119099196,106573.69143298827,-612486.6932635994,171463.1160999059,117374.80817305454,-825321.055976274,-345155.4232271124,78118.9609754704,-783345.5622046498,-322991.01337746886,115409.80419954809,-701002.7736543037,-282156.6104171728,59979.23084475977,-775147.1178706107,-257692.6377608122,135495.94260990102,-775785.9175502429,-299887.17455319094,202508.640493412
1352,-764216.1718228846,-289335.83343157865,121304.87986381828,-624063.9641640793,159316.30994189705,148920.45230021508,-847599.9241107679,-410036.67991678626,66191.19335665648,-801697.0399341541,-338473.8955773723,119908.10385454635,-752748.4707904515,-320083.20733919373,73331.02196197188,-834292.7635365261,-273010.0653392825,165826.7977729254,-847929.9203491152,-312973.4773758822,218491.94992471577
1353,-827254.0647486614,-315613.8650192433,141328.78415705456,-639059.8055036454,148537.98661333704,177060.71220634348,-845419.303822253,-476618.86705988925,62337.06102380108,-814661.5373833788,-346569.1146886211,123635.77947257471,-801755.9924544379,-359910.0149581238,92876.75509066587,-893962.5343568675,-292340.28799012344,198795.48204969932,-911480.5534869612,-340381.59030232904,232903.83036954992
1354,-885372.5705912595,-346349.5284624058,164527.3277950433,-655776.523117444,138631.13809069115,200485.61661866112,-841021.6788816793,-519916.2911530745,52009.73027575608,-823503.2151513201,-345148.64072435995,124650.89092102653,-836886.5337660272,-404812.40214681346,113669.30299101849,-945595.9603691759,-328747.9322194552,224256.03850469523,-955552.9084381608,-391516.4498985138,234976.7668943172
1355,-926283.3038263682,-392183.80039940536,181313.6869812511,-671689.0297809207,129510.70301705046,219030.06655194284,-841276.8969751456,-545622.0611926476,27111.717967224115,-828814.0923582118,-334588.8892551025,122193.4578413656,-848751.005687466,-457097.5505531768,127857.1379698119,-977395.0967867274,-393527.96173032717,233185.5406061491,-973255.9020436413,-463185.34415562486,219573.99947897388
