Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1330,-3.894616123385998e-09,1.6060293902140393e-10,-6.508239872485606e-11,-7.183966598741079e-09,7.23695486012343e-10,1.4717722317226826e-09,8.565999244088077e-09,-2.471010155776446e-10,-2.1418039988231908e-10,1.1517987631505675e-08,-1.2381124316582062e-09,4.761436361583177e-11,-5.203681053549537e-09,3.0175925221348896e-10,1.8981924378695596e-10,-2.381358901669229e-09,4.579102801364612e-11,-6.805404187427556e-11,-3.1616748528472642e-09,7.91676809005387e-11,3.634458801008448e-11
1331,-4.030144299653371e-09,1.9830086781838773e-10,6.897024307857356e-11,-7.1591818686999876e-09,7.563188077038153e-10,1.565724125828854e-09,8.581437521567493e-09,-2.3880782904572554e-10,-1.332957239428427e-10,1.136279233330771e-08,-1.1830522353768913e-09,1.3384199781667486e-11,-5.259646704159459e-09,3.3575892114678126e-10,3.4798402168935664e-10,-2.5110626206305018e-09,7.651920420664709e-11,6.282361903983739e-11,-3.3354453651099423e-09,1.2438025656087856e-10,1.7002075733354325e-10
1332,-4.154365677953725e-09,2.3533673827033783e-10,2.0942519668977957e-10,-7.152378017919453e-09,7.828608961717971e-10,1.6476599860944093e-09,8.592252048756203e-09,-2.2963295894739762e-10,-4.494134951966565e-11,1.1234434831348775e-08,-1.1188610826390203e-09,-3.256258295924264e-11,-5.3084002190745935e-09,3.6762791602800127e-10,5.137872309357442e-10,-2.636394705246155e-09,1.0682346578233657e-10,1.9875532151577599e-10,-3.4850397080480824e-09,1.6597674315755732e-10,3.0994393599716315e-10
1333,-4.266255895796971e-09,2.7038620422919173e-10,3.552780055316774e-10,-7.156848387634738e-09,8.001964498856671e-10,1.7156074948080649e-09,8.595834263345653e-09,-2.154954108963532e-10,5.035703755491426e-11,1.1134990600030073e-08,-1.055788293009227e-09,-8.569580359939024e-11,-5.349611728859772e-09,3.9380074090576015e-10,6.860377241927037e-10,-2.756780921563696e-09,1.347739882640285e-10,3.4212485158919997e-10,-3.6078447966706788e-09,2.0195673369059325e-10,4.5185853851084803e-10
1334,-4.362673663458445e-09,2.990160182599583e-10,5.051547358952731e-10,-7.1675002265694445e-09,8.027741680868065e-10,1.7731812830910575e-09,8.591068995751406e-09,-1.9582825404468277e-10,1.5300991049620658e-10,1.106652392006614e-08,-9.961036439615299e-10,-1.3469263020162174e-10,-5.380633920713284e-09,4.136692274488303e-10,8.61480702827814e-10,-2.867947523283361e-09,1.5633604732331623e-10,4.920027085714988e-10,-3.7042008501356352e-09,2.2894389494722897e-10,5.92405960821849e-10
1335,-4.4390804017225565e-09,3.1828187578315314e-10,6.647662244777286e-10,-7.181671256801653e-09,7.870496334739092e-10,1.8254222492694936e-09,8.577768085927527e-09,-1.7236382145374454e-10,2.6624240004455137e-10,1.1030934198910585e-08,-9.43058589061544e-10,-1.7207951016622378e-10,-5.398671815430722e-09,4.2537882255733376e-10,1.040328985376061e-09,-2.964576803031502e-09,1.68665182498149e-10,6.527286499963077e-10,-3.775046372079344e-09,2.44972125287476e-10,7.35879313640936e-10
1336,-4.4938163825443514e-09,3.2725486413080424e-10,8.301800259005897e-10,-7.198641423583071e-09,7.540606217304064e-10,1.8783957661482517e-09,8.556608856381518e-09,-1.4831351614837913e-10,3.908452254554316e-10,1.1034332391401952e-08,-9.046264370159704e-10,-1.8523985432504254e-10,-5.406979574977773e-09,4.255047041558049e-10,1.2175557057631335e-09,-3.043748115031627e-09,1.7077498159081393e-10,8.194986655089805e-10,-3.8179968955134225e-09,2.488428764129305e-10,8.792298187595382e-10
1337,-4.528131563223782e-09,3.257404303343081e-10,9.929903963712571e-10,-7.2213917072294326e-09,7.100121250634383e-10,1.9372937422711494e-09,8.528414798955107e-09,-1.2796511334081895e-10,5.306791324782727e-10,1.1080011531443553e-08,-8.867751744382766e-10,-1.7565940877271166e-10,-5.40693688507938e-09,4.150665846844549e-10,1.388865215634532e-09,-3.1038399498703377e-09,1.6365187734228172e-10,9.835152953826e-10,-3.8362592161760085e-09,2.4444984792615953e-10,1.0189471900494701e-09
1338,-4.544848655899255e-09,3.156725323345236e-10,1.1492052181912532e-09,-7.250985667157317e-09,6.578191391084049e-10,2.008309402094413e-09,8.494755878412395e-09,-1.1602003077892436e-10,6.882236345362298e-10,1.1164023244217915e-08,-8.943777553233398e-10,-1.4431761411920955e-10,-5.399433702995893e-09,3.969331439262612e-10,1.5520175027585078e-09,-3.1450286366061573e-09,1.5046675102342195e-10,1.1395411856328577e-09,-3.83281498320269e-09,2.3456696224417016e-10,1.1531648457984865e-09
1339,-4.546506953810768e-09,2.967287473282463e-10,1.3027902981330938e-09,-7.2878986968107345e-09,5.984843905567843e-10,2.1000237227962067e-09,8.456360677971718e-09,-1.1851814941554864e-10,8.704537321124891e-10,1.1284887471379025e-08,-9.24400323159711e-10,-1.060482572437192e-10,-5.382738560596258e-09,3.717048274772077e-10,1.7100206702541808e-09,-3.1713579006228867e-09,1.3440943848919932e-10,1.2905980246380442e-09,-3.809361565971558e-09,2.1803983732553763e-10,1.2870038970482246e-09
